X,Y,Z,Buffer,hip_time,GFlops,num_iter,bandwidth,max error
5,13421772,1,1024,2.21993,350.962,1000,900.931,0
25,2684354,1,1024,2.1716,717.545,1000,920.981,3.55457e-15
125,536870,1,1024,2.15081,1086.72,1000,929.881,5.72033e-14
625,107374,1,1024,2.1522,1448.02,1000,929.28,2.76389e-13
3125,21474,1,1023.96,2.49768,1559.61,1000,800.712,3.23769e-12
15625,4294,1,1023.77,5.33883,875.399,1000,749.06,2.97157e-11
78125,858,1,1022.82,6.41536,849.128,1000,622.782,1.25069e-10
390625,171,1,1019.24,8.153,760.935,1000,488.336,7.49943e-10
1953125,34,1,1013.28,9.48644,731.42,1000,625.86,7.71257e-09
9765625,6,1,894.07,10.4895,648.506,1000,499.421,3.77463e-08
48828125,1,1,745.058,12.1451,513.428,1000,359.451,1.99787e-07
1024,65536,1,1024,2.11507,1586.45,1000,945.595,3.45594e-13
243,276168,1,1024,2.58895,1027.11,1000,772.515,1.3133e-13
1024,65536,1,1024,2.12769,1577.04,1000,939.988,3.45594e-13
2187,30685,1,1023.99,3.21467,1158.05,1000,622.141,1.91316e-12
